uid,type,points_finish,points_bronze,points_silver,points_gold,points_at
ktWs7WGdMeK237a5pAl84qWmuz5,RPG,10,15,20,25,30
Fkrc5eebfayxx7gtK4bJJ1LQdQ2,RPG,10,15,20,25,30
0F0x7PHzrSeCHoxFuFZm0xQ9li7,RPG,10,15,20,25,30
dn7S1IflDo4wnbLk1IkHbrO4ooe,RPG,10,15,20,25,30
xqujNxSzebsjDL7HZtp5BZQRlYb,RPG,10,15,20,25,30
9ilaE92BdwchNCY3KJ2ui7m3Ruk,RPG,10,15,20,25,30
FmHe0cS3QxCLIg_M2CMRQBsxGgm,RPG,10,15,20,25,30
a_TCquSds6JdrBcd_q4eJleMdf2,RPG,10,15,20,25,30
kl1SSM6DbdMTyqtDo1IKM0t50W6,RPG,10,15,20,25,30
ms1QfpR3ESF5V5GQNXn7coNItHf,RPG,10,15,20,25,30
ber_rvFtejOKc1Hj6AIsvkr7W64,RPG,10,15,20,25,30
plZgvNCmk4neF5sQ0Kp0Ph2SUM,RPG,10,15,20,25,30
dQLIjLeO9obVEeNVxrtKWoDdyn3,RPG,10,15,20,25,30
lkdAVtawNASmsf5ofzJ71qAjjy0,RPG,10,15,20,25,30
U1JK6vbFcj16lGE1uNtync0uCS1,RPG,10,15,20,25,30
qKjTG8U9e1SWSJgzrTK7bQEj7il,RPG,10,15,20,25,30
jx_awPd9G6G1s4rul2MaSYizJEf,RPG,10,15,20,25,30
0_YmL9uvFFX9L9zlMNFQXgWTja4,RPG,10,15,20,25,30
SCLy2c1OsQivtXOYiMFJV4Yak9l,RPG,10,15,20,25,30
uHfPLBOTwVLFkJMpYXwtZdn7ZF3,RPG,10,15,20,25,30
1jZCZb8Mco2EOsvGAmOQLfBytgj,RPG,10,15,20,25,30
ibD4sx6M6FiEflAhAJQi_Uau21j,RPG,10,15,20,25,30
mSJc4h76NypP1CImzzq1tpfgR37,RPG,10,15,20,25,30
RTLwr2333fZyWYEilVYVBmeovd3,RPG,10,15,20,25,30
ojBWuZbFx9qXziFnui17lF5l4wh,RPG,10,15,20,25,30
9TxAR1C_JbH4XOMhzEgv4qA_zvl,RPG,10,15,20,25,30
ncTT3se29P51eMYlQEEbvHW17Vl,RPG,10,15,20,25,30
N0HUP0Q6DAT5TZ1cfVHxv3H3aw7,RPG,10,15,20,25,30
49Lcnyuxzrbbam9YY0k8D_Ccrpg,RPG,10,15,20,25,30
voqOgEp4HUyc9joIttSPVSP9XJh,RPG,10,15,20,25,30
rt6wr1VyuwVTpyDeCN5HKuAhrTg,RPG,10,15,20,25,30
ECqO545RUFd7YJg53pT4m2aSdWh,RPG,10,15,20,25,30
m23WskXYU0Q68iArahIAJvP06Ml,RPG,10,15,20,25,30
QTvZZUZMsVlqGwq63PyK3z5595g,RPG,10,15,20,25,30
DnlCeq94CJr45XGIzX0ONQo1dN3,RPG,10,15,20,25,30
xMxEGCWslyQz0BrLo8ktzlXKwef,RPG,10,15,20,25,30
dMA39Ybv9m9j2bhSyfcGkJ4oc6a,RPG,10,15,20,25,30
d8ZqcCT4XxKWUvZ1i7q2urY7lCd,RPG,10,15,20,25,30
Ilu2aFrnjrwPANYsCMoJyhjNki2,RPG,10,15,20,25,30
rLxD_6si1bHsOpRRbL5zmlG2zt2,RPG,10,15,20,25,30
NjEXuQ8yr87EVOJfcdcyYCwT6f7,RPG,10,15,20,25,30
TnAF2QJLTakwFRZfIZzEV4VQjGj,RPG,10,15,20,25,30
wmx23PgdXguq3zfpHPUMewIqwB6,RPG,10,15,20,25,30
2siFr4VkpzYAE17qqvjxY9kUlxc,RPG,10,15,20,25,30
j92LHKXP0GLYPnUIPPUuYlRbLq8,RPG,10,15,20,25,30
DZR9SlTsIXG5CVfOiafepQmr_xf,RPG,10,15,20,25,30
fUIMBXrtLEO8JtJqibXB2arWKB5,RPG,10,15,20,25,30
HZaSBSYaxfHNXEJ5vRNoULelyGj,RPG,10,15,20,25,30
_nOPMyTufDeSeIffo9vToYhoKxl,RPG,10,15,20,25,30
5zkWdxTyItrBmIRtUcF4xrMaRAe,RPG,10,15,20,25,30
mksduUowYoGz3FUADkxO5Q9tyA2,RPG,10,15,20,25,30
x9u2JpFbAuObDl9pn4GWTYobUT1,RPG,10,15,20,25,30
zGf_WiVAvNVRc1_ulfx1R1mq3I3,RPG,10,15,20,25,30
4WfeLoicCRiLXPVQgY9FGS_2fSb,RPG,10,15,20,25,30
9z3LXz6lWbokIFu7yZXGvvYgMii,RPG,10,15,20,25,30
D5uEcnt2HLxASGNUoc_vnLCujB3,RPG,10,15,20,25,30
CIcCWc0r0MBZtPuQv90LepT3BRi,RPG,10,15,20,25,30
2MqJKnUItGDWbVN7VgGg7BVF5q7,RPG,10,15,20,25,30
YdvOlqZam34vuAeS455DHFSSXHm,RPG,10,15,20,25,30
G0koG4QtEf4XpRptq06TIE0tHP0,RPG,10,15,20,25,30
srHzSpEG_nPYtKSQM2zdz1hUTwl,RPG,10,15,20,25,30
